composer, total_slices, plus_10_slices, plus_20_slices
Mozart, 1673, 67, 67
Holst, 175, 7, 6
Skriabin, 350, 17, 18
Cramer, 63, 2, 0
Chaminade, 158, 8, 9
Debussy, 230, 12, 10
Dvorak, 459, 14, 14
Bartok, 185, 6, 7
Joplin, 207, 10, 11
Copland, 252, 5, 6
Busoni, 260, 6, 7
Bach, 2663, 86, 87
Brahms, 2038, 37, 37
Mendelssohn, 48, 1, 0
Tchaikovsky, 433, 12, 13
Ravel, 214, 6, 7
Lemire, 125, 6, 2
Liszt, 670, 24, 25
Pachelbel, 44, 0, 0
Coleridge-Taylor, 59, 4, 4
Coates, 120, 3, 2
Heller, 173, 3, 4
Gershwin, 329, 8, 9
German, 459, 18, 18
Vivaldi, 886, 41, 42
Jensen, 84, 5, 6
Chabrier, 179, 6, 6
Lange, 35, 0, 0
Strauss, J, 186, 4, 5
Bacewitz, 71, 3, 4
Sibelius, 83, 4, 4
Beethoven, 3683, 98, 98
Satie, 144, 5, 0
Mendelsonn, 1387, 39, 40
Rachmaninov, 855, 23, 24
Paganini, 358, 16, 15
Schumann, 1215, 30, 31
Haendel, 1259, 48, 49
Faure, 179, 7, 8
Berlin, 48, 3, 0
Hummel, 335, 11, 12
Burgmuller, 332, 5, 0
Maier, 45, 0, 0
Shostakovich, 61, 2, 0
Prokofiev, 150, 4, 5
Peterson-Berger, 55, 3, 0
Vaughan, 118, 5, 5
Moszkowski, 129, 3, 4
Wagner, 89, 3, 4
Dussek, 136, 3, 4
Poulenc, 175, 6, 6
Grieg, 183, 9, 10
Haydn, 1705, 46, 47
Grainger, 51, 2, 2
Saint-Saens, 37, 1, 0
Alkan, 220, 9, 9
Czerny, 229, 9, 5
Barber, 48, 3, 0
Clementi, 1010, 35, 36
Kuhlau, 274, 9, 10
Scarlatti, 335, 12, 13
Albéniz, 293, 16, 17
Griffes, 141, 4, 5
Buxehude, 194, 11, 12
Field, 41, 3, 0
Stravinski, 116, 6, 3
Ginastera, 153, 5, 5
Bellini, 56, 2, 3
Schubert, 3519, 81, 58
Rimsky-Korsakov, 38, 2, 0
Chopin, 2126, 76, 32
